BBLCOUNT        1.0         0
0x7fff8d9928ca 3 11 25
0x7fff85745502 3 1 6
0x7fff8573caea 1 5 21
0x7fff8573cad3 1 6 23
0x7fff8573cac8 1 4 11
0x7fff85745598 5 1 6
0x7fff8573cabb 1 3 13
0x7fff8573cab3 4 3 8
0x7fff8d9928f1 2 8 29
0x7fff8573caea 1 5 21
0x7fff8573cae4 1 2 6
0x7fff8573cb47 1 3 12
0x7fff8573cb33 2 6 20
0x7fff8573cb22 2 4 17
0x7fff857455ce 2 1 6
0x7fff8573cb11 1 6 17
0x7fff8573cb0c 2 2 5
0x7fff8573caff 2 3 13
0x7fff8d99290e 3 7 12
0x7fff8d99289a 3 2 2
0x7fff8d99288d 0 1 5
0x7fff8d992885 3 3 8
0x7fff8d992883 3 1 2
0x7fff8d99287e 3 2 5
0x7fff8d992879 3 2 5
0x7fff8572fa0a 1 22 163
0x7fff8572f9fe 1 3 12
0x7fff8572ffa3 1 9 18
0x7fff8572ff90 2 6 19
0x7fff8572ff87 3 3 9
0x7fff8572ff60 0 10 37
0x7fff8572ff5c 3 2 4
0x7fff8176e99e 6 9 18
0x7fff8176e978 0 10 38
0x7fff8176e96c 6 3 12
0x7fff8176e937 0 13 50
0x7fff8176e91f 6 7 24
0x7fff8176b966 6 1 1
0x7fff8176b95c 6 3 10
0x7fff8176e900 6 9 31
0x7fff8176e8fb 6 2 5
0x7fff8176e8f6 6 2 5
0x7fff8b0559be 1 10 27
0x7fff8b055986 1 4 14
0x7fff8b05597f 11 2 7
0x7fff8b055978 11 2 7
0x7fff8b055971 12 3 7
0x7fff8b0559a6 0 1 2
0x7fff8b055998 12 5 14
0x7fff8b055986 0 4 14
0x7fff8b05597f 1 2 7
0x7fff8b055978 1 2 7
0x7fff8b05596a 1 5 14
0x7fff8b055951 1 6 25
0x7fff8b05594c 1 1 5
0x7fff8b05592f 1 12 29
0x7fff857453a0 1 1 6
0x7fff8572fb07 1 4 23
0x7fff8572faad 1 5 46
0x7fff8573cf38 0 1 5
0x7fff8573cf2a 1 4 14
0x7fff8d9230e3 11 5 13
0x7fff857454de 1 1 6
0x7fff8573cf1e 1 2 12
0x7fff8573cf10 1 3 14
0x7fff8574548a 489 1 6
0x7fff8573cef9 1 8 23
0x7fff8573e265 1 1 5
0x7fff8573e252 25 8 19
0x7fff8573c39f 2 10 50
0x7fff8573c3d1 0 14 51
0x7fff8573c3db 2 13 41
0x7fff8573bb2d 2 2 8
0x7fff8573bb35 2 2 9
0x7fff8573bb3e 0 4 19
0x7fff87f6c818 1 4 20
0x7fff8176e8c5 6 18 49
0x7fff857453fa 5 1 6
0x7fff8572feff 1 20 93
0x7fff8572fef4 1 3 11
0x7fff8572feff 2 20 93
0x7fff8572fef0 2 4 15
0x7fff8572fea6 3 24 74
0x7fff8572f9e5 1 7 25
0x7fff8572f9d1 1 3 20
0x7fff8572f9ac 1 12 37
0x7fff8573d3c6 1 4 20
0x7fff8573cfb3 33 3 13
0x7fff8573cfa7 34 3 12
0x7fff8573cfc8 0 1 5
0x7fff8573cfc0 34 3 8
0x7fff8573cfb3 1 3 13
0x7fff8573cf47 1 14 108
0x7fff81dfcf58 1 9 55
0x7fff81df1cac 8 24 143
0x7fff81e02688 13 5 14
0x7fff81dfcf8f 1 8 53
0x7fff81dfd9f6 2 10 24
0x7fff81dfda0e 2 7 30
0x7fff81dfda2c 2 3 15
0x7fff81dfda3b 2 3 12
0x7fff81dfda47 2 5 17
0x7fff81dfda58 2 7 14
0x7fff81dfcfc4 1 8 44
0x7fff81dfcff0 1 8 54
0x7fff81dfd026 1 5 29
0x7fff81dfd043 1 10 70
0x7fff81dfd089 1 19 125
0x7fff81dfd632 1 10 24
0x7fff81e04ab8 0 1 5
0x7fff81e04aaa 1 4 14
0x7fff81e04a9f 1 4 11
0x7fff8d946a19 1 19 180
0x7fff8d9469f4 0 4 21
0x7fff8d9469e5 1 4 15
0x7fff8d9469e0 1 2 5
0x7fff8d9469d7 0 2 9
0x7fff8d9469ca 1 5 13
0x7fff81e2e60a 1 1 6
0x7fff81e04a84 1 10 27
0x7fff81dfd6f3 1 4 13
0x7fff81dfd6d8 1 9 27
0x7fff81dfd677 1 3 11
0x7fff81dfd64a 1 10 45
0x7fff81df3c4c 3 10 55
0x7fff81df3c2c 3 10 32
0x7fff81e02c14 6 7 15
0x7fff81e02c24 6 7 17
0x7fff81dfdd70 1 9 27
0x7fff81dfdd0f 1 3 11
0x7fff81e02626 6 7 19
0x7fff81dfdce2 1 10 45
0x7fff81df34b8 3 10 55
0x7fff81e026c6 14 6 17
0x7fff81e02688 1 5 14
0x7fff81e0266e 1 4 26
0x7fff81e0265f 1 3 15
0x7fff81e0120d 1 5 14
0x7fff8be9a0dd 2 4 7
0x7fff8be9a0d9 2 2 4
0x7fff8be9ca38 2 1 6
0x7fff8be9a0cd 2 2 12
0x7fff8be9a0c9 2 2 4
0x7fff81dfdd23 1 6 11
0x7fff81e2347a 6 2 2
0x7fff81e2346e 6 2 4
0x7fff81e23458 6 6 22
0x7fff81dfe0ae 6 5 13
0x7fff81dfdd1a 1 2 9
0x7fff81dfddc0 1 4 7
0x7fff81dfddae 0 5 18
0x7fff81dfdda5 1 3 9
0x7fff81e0447a 3 5 8
0x7fff81dfdd98 1 4 13
0x7fff81e0446e 1 5 11
0x7fff81dfdd8b 1 4 13
0x7fff81e025a1 6 4 7
0x7fff81e02598 6 3 9
0x7fff81e0257e 6 10 26
0x7fff81e02c35 6 6 17
0x7fff8176ac37 1 5 14
0x7fff8176cb4a 1 2 12
0x7fff8176cb3a 1 4 16
0x7fff8323bc30 1 1 6
0x7fff8323ba1a 1 14 40
0x7fff87f5a6f2 1 1 5
0x7fff87f5a647 3 5 23
0x7fff87f6e9ba 1 1 1
0x7fff87f6e9a0 15 5 26
0x7fff87f6e9ba 0 1 1
0x7fff87f6e990 1 8 42
0x7fff87f5a65e 3 2 8
0x7fff87f5a6a4 2 3 11
0x7fff87f5a685 10 2 10
0x7fff87f5a6d7 1 2 7
0x7fff87f59efb 1 2 12
0x7fff87f5a6f7 1 2 7
0x7fff888a1e78 1 3 9
0x7fff8323bbe8 1 1 6
0x7fff8323ba42 1 1 5
0x7fff8176ac4a 1 4 11
0x7fff8175b565 1 1 1
0x7fff8176ac77 1 3 8
0x7fff8176dcf3 1 3 8
0x7fff8176dcdc 1 3 14
0x7fff8176dcea 1 3 9
0x7fff8176ac69 1 3 14
0x7fff8176b9ea 3 1 1
0x7fff8176b9e0 2 3 10
0x7fff8176ac5e 1 2 11
0x7fff8176ba02 2 1 1
0x7fff8176b9f8 1 3 10
0x7fff8176ac55 1 3 9
0x7fff8176ac45 1 1 5
0x7fff81dfd16b 1 8 44
0x7fff81dfd3c0 2 7 14
0x7fff81dfd3af 2 5 17
0x7fff81dfd3a3 2 3 12
0x7fff81dfd394 2 3 15
0x7fff81dfd376 2 7 30
0x7fff81dfd35e 2 10 24
0x7fff81dfd13d 1 7 46
0x7fff81dfd106 1 9 55
0x7fff81dfd68b 1 6 11
0x7fff81dfd682 1 2 9
0x7fff81dfd728 1 4 7
0x7fff81dfd716 0 5 18
0x7fff81dfd70d 1 3 9
